<TABLE>,tradable
asset-name,asset-class
STRING,STRING
stock_0,stock
stock_1,stock
stock_2,stock
commodity_0,commodity
commodity_1,commodity
commodity_2,commodity
future_0,future
future_1,future
future_2,future
bond_0,bond
bond_1,bond
bond_2,bond
<TABLE>,price-over-time
day,asset-name,price
INT,STRING,FLOAT
0,stock_0,130.28
0,stock_1,132.70
0,stock_2,160.97
0,commodity_0,104.44
0,commodity_1,112.94
0,commodity_2,173.13
0,future_0,185.81
0,future_1,187.33
0,future_2,161.91
0,bond_0,174.70
0,bond_1,171.57
0,bond_2,177.45
1,stock_0,108.64
1,stock_1,127.53
1,stock_2,137.24
1,commodity_0,103.92
1,commodity_1,196.78
1,commodity_2,175.59
1,future_0,160.42
1,future_1,134.03
1,future_2,198.05
1,bond_0,142.15
1,bond_1,136.24
1,bond_2,121.25
2,stock_0,164.06
2,stock_1,195.32
2,stock_2,163.95
2,commodity_0,100.18
2,commodity_1,177.60
2,commodity_2,196.56
2,future_0,191.27
2,future_1,148.66
2,future_2,117.73
2,bond_0,165.35
2,bond_1,135.74
2,bond_2,101.00
3,stock_0,121.90
3,stock_1,160.53
3,stock_2,100.01
3,commodity_0,111.56
3,commodity_1,103.78
3,commodity_2,130.02
3,future_0,144.88
3,future_1,118.49
3,future_2,174.48
3,bond_0,121.99
3,bond_1,137.49
3,bond_2,178.83
4,stock_0,137.10
4,stock_1,122.90
4,stock_2,106.51
4,commodity_0,118.57
4,commodity_1,103.62
4,commodity_2,139.22
4,future_0,106.15
4,future_1,180.88
4,future_2,132.86
4,bond_0,103.58
4,bond_1,118.38
4,bond_2,195.20
5,stock_0,163.30
5,stock_1,177.65
5,stock_2,178.53
5,commodity_0,192.78
5,commodity_1,196.76
5,commodity_2,167.10
5,future_0,116.95
5,future_1,187.70
5,future_2,165.61
5,bond_0,141.64
5,bond_1,172.20
5,bond_2,187.40
6,stock_0,188.35
6,stock_1,117.61
6,stock_2,151.47
6,commodity_0,192.33
6,commodity_1,154.82
6,commodity_2,153.63
6,future_0,159.66
6,future_1,127.33
6,future_2,168.98
6,bond_0,118.98
6,bond_1,110.60
6,bond_2,165.21
7,stock_0,117.03
7,stock_1,173.12
7,stock_2,174.17
7,commodity_0,145.65
7,commodity_1,113.59
7,commodity_2,171.93
7,future_0,118.75
7,future_1,103.90
7,future_2,119.51
7,bond_0,159.41
7,bond_1,112.66
7,bond_2,106.75
8,stock_0,164.63
8,stock_1,157.64
8,stock_2,122.91
8,commodity_0,104.56
8,commodity_1,165.17
8,commodity_2,172.75
8,future_0,137.33
8,future_1,122.86
8,future_2,167.43
8,bond_0,176.24
8,bond_1,151.15
8,bond_2,103.89
9,stock_0,172.31
9,stock_1,191.00
9,stock_2,135.00
9,commodity_0,116.55
9,commodity_1,178.50
9,commodity_2,139.50
9,future_0,133.23
9,future_1,196.19
9,future_2,167.14
9,bond_0,106.21
9,bond_1,116.54
9,bond_2,196.08
10,stock_0,173.23
10,stock_1,182.52
10,stock_2,168.34
10,commodity_0,141.97
10,commodity_1,133.40
10,commodity_2,191.83
10,future_0,134.80
10,future_1,119.85
10,future_2,198.50
10,bond_0,190.94
10,bond_1,117.31
10,bond_2,126.67
11,stock_0,136.23
11,stock_1,124.43
11,stock_2,146.71
11,commodity_0,196.11
11,commodity_1,131.69
11,commodity_2,199.86
11,future_0,152.28
11,future_1,171.30
11,future_2,150.03
11,bond_0,194.96
11,bond_1,112.31
11,bond_2,184.39
12,stock_0,142.45
12,stock_1,180.57
12,stock_2,189.52
12,commodity_0,192.40
12,commodity_1,101.38
12,commodity_2,130.02
12,future_0,164.34
12,future_1,111.65
12,future_2,104.37
12,bond_0,151.31
12,bond_1,123.98
12,bond_2,186.70
13,stock_0,169.34
13,stock_1,115.52
13,stock_2,180.12
13,commodity_0,199.44
13,commodity_1,108.64
13,commodity_2,104.01
13,future_0,137.98
13,future_1,191.47
13,future_2,103.62
13,bond_0,198.13
13,bond_1,184.88
13,bond_2,191.44
14,stock_0,165.39
14,stock_1,150.06
14,stock_2,146.23
14,commodity_0,114.16
14,commodity_1,171.41
14,commodity_2,146.52
14,future_0,192.22
14,future_1,104.68
14,future_2,199.24
14,bond_0,111.37
14,bond_1,175.94
14,bond_2,112.34
15,stock_0,145.54
15,stock_1,167.20
15,stock_2,194.80
15,commodity_0,116.66
15,commodity_1,109.34
15,commodity_2,157.04
15,future_0,112.11
15,future_1,131.31
15,future_2,102.78
15,bond_0,198.63
15,bond_1,123.67
15,bond_2,121.40
16,stock_0,120.68
16,stock_1,154.24
16,stock_2,116.08
16,commodity_0,156.10
16,commodity_1,181.74
16,commodity_2,111.72
16,future_0,150.00
16,future_1,114.14
16,future_2,112.00
16,bond_0,159.27
16,bond_1,122.59
16,bond_2,199.40
17,stock_0,164.56
17,stock_1,113.84
17,stock_2,131.44
17,commodity_0,131.09
17,commodity_1,192.30
17,commodity_2,197.19
17,future_0,182.25
17,future_1,198.18
17,future_2,100.85
17,bond_0,164.25
17,bond_1,161.03
17,bond_2,166.28
18,stock_0,146.61
18,stock_1,160.64
18,stock_2,145.35
18,commodity_0,179.90
18,commodity_1,134.58
18,commodity_2,164.96
18,future_0,118.51
18,future_1,144.11
18,future_2,124.97
18,bond_0,171.75
18,bond_1,157.45
18,bond_2,180.58
19,stock_0,131.49
19,stock_1,146.85
19,stock_2,113.83
19,commodity_0,144.50
19,commodity_1,111.28
19,commodity_2,148.50
19,future_0,149.51
19,future_1,187.28
19,future_2,131.14
19,bond_0,114.60
19,bond_1,148.63
19,bond_2,143.78
20,stock_0,110.23
20,stock_1,191.92
20,stock_2,159.95
20,commodity_0,130.93
20,commodity_1,162.33
20,commodity_2,116.55
20,future_0,129.79
20,future_1,188.49
20,future_2,179.30
20,bond_0,154.86
20,bond_1,121.74
20,bond_2,167.34
21,stock_0,164.99
21,stock_1,165.09
21,stock_2,176.68
21,commodity_0,152.50
21,commodity_1,165.77
21,commodity_2,139.97
21,future_0,188.65
21,future_1,104.96
21,future_2,107.57
21,bond_0,164.32
21,bond_1,121.40
21,bond_2,177.84
22,stock_0,135.93
22,stock_1,160.63
22,stock_2,146.33
22,commodity_0,142.57
22,commodity_1,138.64
22,commodity_2,195.68
22,future_0,139.49
22,future_1,141.82
22,future_2,170.94
22,bond_0,127.91
22,bond_1,178.32
22,bond_2,195.76
23,stock_0,134.99
23,stock_1,186.99
23,stock_2,197.13
23,commodity_0,130.55
23,commodity_1,126.55
23,commodity_2,141.95
23,future_0,153.14
23,future_1,175.08
23,future_2,101.60
23,bond_0,120.52
23,bond_1,126.23
23,bond_2,147.30
24,stock_0,119.76
24,stock_1,174.22
24,stock_2,182.72
24,commodity_0,136.94
24,commodity_1,129.93
24,commodity_2,107.02
24,future_0,127.23
24,future_1,185.05
24,future_2,102.54
24,bond_0,192.49
24,bond_1,109.26
24,bond_2,137.03
25,stock_0,114.99
25,stock_1,134.29
25,stock_2,139.62
25,commodity_0,124.85
25,commodity_1,174.31
25,commodity_2,137.46
25,future_0,154.59
25,future_1,118.16
25,future_2,143.87
25,bond_0,137.23
25,bond_1,144.55
25,bond_2,159.63
26,stock_0,144.31
26,stock_1,107.96
26,stock_2,102.96
26,commodity_0,151.19
26,commodity_1,134.68
26,commodity_2,174.48
26,future_0,190.80
26,future_1,187.49
26,future_2,196.36
26,bond_0,190.03
26,bond_1,144.32
26,bond_2,151.39
27,stock_0,116.14
27,stock_1,119.75
27,stock_2,144.65
27,commodity_0,106.71
27,commodity_1,137.20
27,commodity_2,146.78
27,future_0,185.74
27,future_1,161.42
27,future_2,120.55
27,bond_0,146.37
27,bond_1,125.55
27,bond_2,110.61
28,stock_0,134.19
28,stock_1,182.54
28,stock_2,124.77
28,commodity_0,133.54
28,commodity_1,163.40
28,commodity_2,120.42
28,future_0,111.72
28,future_1,119.11
28,future_2,104.68
28,bond_0,113.52
28,bond_1,146.08
28,bond_2,144.04
29,stock_0,110.37
29,stock_1,194.03
29,stock_2,145.15
29,commodity_0,190.61
29,commodity_1,115.16
29,commodity_2,100.31
29,future_0,194.82
29,future_1,179.36
29,future_2,182.68
29,bond_0,103.98
29,bond_1,143.98
29,bond_2,159.53
30,stock_0,114.86
30,stock_1,185.35
30,stock_2,146.74
30,commodity_0,159.94
30,commodity_1,170.74
30,commodity_2,166.24
30,future_0,162.16
30,future_1,113.33
30,future_2,181.17
30,bond_0,122.01
30,bond_1,180.61
30,bond_2,132.19
31,stock_0,144.22
31,stock_1,126.83
31,stock_2,168.91
31,commodity_0,125.30
31,commodity_1,115.00
31,commodity_2,170.11
31,future_0,181.30
31,future_1,179.51
31,future_2,131.84
31,bond_0,160.18
31,bond_1,188.74
31,bond_2,102.61
32,stock_0,118.23
32,stock_1,112.82
32,stock_2,190.84
32,commodity_0,174.47
32,commodity_1,141.73
32,commodity_2,174.64
32,future_0,127.31
32,future_1,152.26
32,future_2,189.45
32,bond_0,190.84
32,bond_1,134.36
32,bond_2,155.05
33,stock_0,123.95
33,stock_1,197.56
33,stock_2,153.92
33,commodity_0,166.34
33,commodity_1,167.02
33,commodity_2,160.10
33,future_0,170.04
33,future_1,147.86
33,future_2,110.76
33,bond_0,186.93
33,bond_1,194.42
33,bond_2,105.27
34,stock_0,145.30
34,stock_1,166.10
34,stock_2,136.72
34,commodity_0,134.01
34,commodity_1,192.96
34,commodity_2,107.54
34,future_0,117.23
34,future_1,131.57
34,future_2,146.95
34,bond_0,113.88
34,bond_1,184.34
34,bond_2,164.13
35,stock_0,179.41
35,stock_1,111.13
35,stock_2,117.44
35,commodity_0,144.90
35,commodity_1,111.58
35,commodity_2,100.42
35,future_0,112.78
35,future_1,133.55
35,future_2,186.81
35,bond_0,192.30
35,bond_1,134.14
35,bond_2,129.20
36,stock_0,158.20
36,stock_1,125.63
36,stock_2,142.71
36,commodity_0,107.74
36,commodity_1,130.32
36,commodity_2,167.71
36,future_0,192.40
36,future_1,147.49
36,future_2,167.74
36,bond_0,154.95
36,bond_1,163.23
36,bond_2,146.54
37,stock_0,111.47
37,stock_1,196.44
37,stock_2,114.64
37,commodity_0,161.54
37,commodity_1,104.85
37,commodity_2,150.93
37,future_0,157.08
37,future_1,114.69
37,future_2,146.06
37,bond_0,113.68
37,bond_1,176.93
37,bond_2,158.36
38,stock_0,162.38
38,stock_1,163.89
38,stock_2,191.52
38,commodity_0,177.53
38,commodity_1,178.83
38,commodity_2,142.09
38,future_0,185.53
38,future_1,106.04
38,future_2,148.04
38,bond_0,176.91
38,bond_1,127.17
