<TABLE>,tradable
asset-name,asset-class
STRING,STRING
stock_0,stock
stock_1,stock
stock_2,stock
commodity_0,commodity
commodity_1,commodity
commodity_2,commodity
future_0,future
future_1,future
future_2,future
bond_0,bond
bond_1,bond
bond_2,bond
<TABLE>,price-over-time
day,asset-name,price
INT,STRING,FLOAT
0,stock_0,428.42
0,stock_1,419.38
0,stock_2,486.86
0,commodity_0,406.37
0,commodity_1,497.77
0,commodity_2,425.50
0,future_0,472.43
0,future_1,412.07
0,future_2,489.85
0,bond_0,435.23
0,bond_1,498.83
0,bond_2,433.48
1,stock_0,444.73
1,stock_1,472.89
1,stock_2,409.16
1,commodity_0,434.51
1,commodity_1,469.81
1,commodity_2,452.10
1,future_0,405.59
1,future_1,459.68
1,future_2,417.32
1,bond_0,456.31
1,bond_1,408.58
1,bond_2,429.23
2,stock_0,449.30
2,stock_1,439.29
2,stock_2,468.01
2,commodity_0,474.35
2,commodity_1,437.82
2,commodity_2,418.71
2,future_0,414.11
2,future_1,429.93
2,future_2,461.34
2,bond_0,496.66
2,bond_1,470.17
2,bond_2,401.70
3,stock_0,416.02
3,stock_1,407.52
3,stock_2,432.97
3,commodity_0,498.58
3,commodity_1,405.31
3,commodity_2,432.41
3,future_0,479.89
3,future_1,403.12
3,future_2,449.76
3,bond_0,492.23
3,bond_1,450.25
3,bond_2,410.84
4,stock_0,482.74
4,stock_1,491.00
4,stock_2,464.27
4,commodity_0,442.89
4,commodity_1,432.13
4,commodity_2,430.83
4,future_0,465.46
4,future_1,438.84
4,future_2,446.26
4,bond_0,402.47
4,bond_1,479.17
4,bond_2,471.65
5,stock_0,441.20
5,stock_1,406.88
5,stock_2,475.41
5,commodity_0,470.12
5,commodity_1,420.14
5,commodity_2,465.00
5,future_0,453.68
5,future_1,497.19
5,future_2,470.30
5,bond_0,431.22
5,bond_1,464.33
5,bond_2,406.99
6,stock_0,461.17
6,stock_1,401.14
6,stock_2,481.20
6,commodity_0,459.17
6,commodity_1,481.20
6,commodity_2,477.37
6,future_0,465.60
6,future_1,486.97
6,future_2,426.05
6,bond_0,445.53
6,bond_1,459.59
6,bond_2,470.89
7,stock_0,488.09
7,stock_1,494.24
7,stock_2,412.08
7,commodity_0,411.91
7,commodity_1,453.59
7,commodity_2,499.34
7,future_0,442.64
7,future_1,458.15
7,future_2,439.42
7,bond_0,490.76
7,bond_1,495.02
7,bond_2,413.48
8,stock_0,411.85
8,stock_1,423.16
8,stock_2,400.34
8,commodity_0,442.04
8,commodity_1,452.81
8,commodity_2,410.57
8,future_0,453.28
8,future_1,409.40
8,future_2,416.60
8,bond_0,489.59
8,bond_1,412.14
8,bond_2,428.50
9,stock_0,463.36
9,stock_1,400.12
9,stock_2,447.37
9,commodity_0,424.95
9,commodity_1,488.02
9,commodity_2,412.00
9,future_0,425.62
9,future_1,451.38
9,future_2,412.88
9,bond_0,405.51
9,bond_1,453.34
9,bond_2,450.07
10,stock_0,412.08
10,stock_1,428.37
10,stock_2,429.52
10,commodity_0,483.25
10,commodity_1,455.23
10,commodity_2,455.31
10,future_0,418.98
10,future_1,454.60
10,future_2,420.88
10,bond_0,445.42
10,bond_1,493.44
10,bond_2,499.13
11,stock_0,495.58
11,stock_1,461.23
11,stock_2,460.62
11,commodity_0,438.77
11,commodity_1,434.58
11,commodity_2,495.95
11,future_0,414.97
11,future_1,484.39
11,future_2,444.32
11,bond_0,460.55
11,bond_1,431.43
11,bond_2,497.18
12,stock_0,435.06
12,stock_1,467.87
12,stock_2,432.11
12,commodity_0,473.48
12,commodity_1,413.83
12,commodity_2,469.45
12,future_0,433.68
12,future_1,423.38
12,future_2,432.36
12,bond_0,485.00
12,bond_1,428.41
12,bond_2,419.23
13,stock_0,442.48
13,stock_1,421.89
13,stock_2,465.93
13,commodity_0,469.38
13,commodity_1,410.59
13,commodity_2,475.51
13,future_0,497.38
13,future_1,480.43
13,future_2,466.54
13,bond_0,482.65
13,bond_1,430.66
13,bond_2,446.70
14,stock_0,466.02
14,stock_1,461.10
14,stock_2,401.06
14,commodity_0,438.53
14,commodity_1,466.42
14,commodity_2,453.11
14,future_0,467.53
14,future_1,419.83
14,future_2,466.98
14,bond_0,452.47
14,bond_1,400.39
14,bond_2,492.17
15,stock_0,482.73
15,stock_1,454.47
15,stock_2,445.89
15,commodity_0,462.83
15,commodity_1,449.56
15,commodity_2,471.84
15,future_0,487.52
15,future_1,407.51
15,future_2,413.10
15,bond_0,458.58
15,bond_1,461.52
15,bond_2,406.01
16,stock_0,459.77
16,stock_1,486.19
16,stock_2,402.42
16,commodity_0,421.42
16,commodity_1,492.77
16,commodity_2,411.05
16,future_0,430.25
16,future_1,458.56
16,future_2,456.72
16,bond_0,484.15
16,bond_1,495.58
16,bond_2,495.08
17,stock_0,491.10
17,stock_1,464.53
17,stock_2,481.74
17,commodity_0,448.55
17,commodity_1,497.36
17,commodity_2,435.74
17,future_0,479.41
17,future_1,494.70
17,future_2,402.87
17,bond_0,427.17
17,bond_1,473.97
17,bond_2,441.85
18,stock_0,476.42
18,stock_1,468.09
18,stock_2,412.12
18,commodity_0,452.10
18,commodity_1,416.69
18,commodity_2,404.09
18,future_0,423.83
18,future_1,451.71
18,future_2,488.91
18,bond_0,421.65
18,bond_1,476.55
18,bond_2,429.96
19,stock_0,426.88
19,stock_1,418.03
19,stock_2,402.12
19,commodity_0,462.80
19,commodity_1,440.38
19,commodity_2,402.33
19,future_0,407.80
19,future_1,494.06
19,future_2,469.01
19,bond_0,403.74
19,bond_1,444.54
19,bond_2,437.59
20,stock_0,485.27
20,stock_1,477.51
20,stock_2,483.34
20,commodity_0,443.16
20,commodity_1,425.95
20,commodity_2,484.44
20,future_0,464.78
20,future_1,490.38
20,future_2,441.71
20,bond_0,423.59
20,bond_1,406.32
20,bond_2,425.64
21,stock_0,449.61
21,stock_1,469.31
21,stock_2,469.08
21,commodity_0,410.96
21,commodity_1,412.28
21,commodity_2,494.47
21,future_0,422.97
21,future_1,410.51
21,future_2,414.22
21,bond_0,416.38
21,bond_1,442.97
21,bond_2,452.74
22,stock_0,492.38
22,stock_1,428.98
22,stock_2,452.16
22,commodity_0,489.35
22,commodity_1,444.87
22,commodity_2,454.80
22,future_0,494.59
22,future_1,432.06
22,future_2,447.26
22,bond_0,401.49
22,bond_1,410.97
22,bond_2,439.15
23,stock_0,449.87
23,stock_1,437.87
23,stock_2,445.27
23,commodity_0,407.30
23,commodity_1,494.78
23,commodity_2,457.60
23,future_0,493.09
23,future_1,432.44
23,future_2,409.84
23,bond_0,416.70
23,bond_1,467.42
23,bond_2,442.56
24,stock_0,408.93
24,stock_1,495.41
24,stock_2,407.33
24,commodity_0,479.12
24,commodity_1,473.05
24,commodity_2,485.69
24,future_0,421.50
24,future_1,433.95
24,future_2,473.78
24,bond_0,463.57
24,bond_1,466.69
24,bond_2,468.92
25,stock_0,423.29
25,stock_1,421.73
25,stock_2,436.13
25,commodity_0,456.41
25,commodity_1,446.32
25,commodity_2,432.61
25,future_0,490.65
25,future_1,480.61
25,future_2,406.37
25,bond_0,485.85
25,bond_1,423.66
25,bond_2,494.84
26,stock_0,454.17
26,stock_1,428.70
26,stock_2,416.38
26,commodity_0,417.67
26,commodity_1,401.52
26,commodity_2,413.80
26,future_0,449.88
26,future_1,489.89
26,future_2,425.39
26,bond_0,451.47
26,bond_1,432.66
26,bond_2,427.08
27,stock_0,495.32
27,stock_1,428.35
27,stock_2,403.50
27,commodity_0,436.91
27,commodity_1,488.29
27,commodity_2,426.67
27,future_0,446.79
27,future_1,482.17
27,future_2,488.17
27,bond_0,453.80
27,bond_1,455.81
27,bond_2,429.51
28,stock_0,487.69
28,stock_1,485.44
28,stock_2,464.90
28,commodity_0,463.13
28,commodity_1,423.93
28,commodity_2,466.20
28,future_0,482.79
28,future_1,430.44
28,future_2,420.90
28,bond_0,434.93
28,bond_1,471.09
28,bond_2,479.41
29,stock_0,469.32
29,stock_1,461.86
29,stock_2,470.87
29,commodity_0,469.14
29,commodity_1,457.51
29,commodity_2,429.10
29,future_0,403.19
29,future_1,482.72
29,future_2,480.44
29,bond_0,441.21
29,bond_1,456.20
29,bond_2,492.33
30,stock_0,410.69
30,stock_1,455.38
30,stock_2,483.47
30,commodity_0,496.42
30,commodity_1,452.66
30,commodity_2,432.05
30,future_0,405.97
30,future_1,404.99
30,future_2,438.98
30,bond_0,432.06
30,bond_1,487.84
30,bond_2,439.74
31,stock_0,472.31
31,stock_1,484.96
31,stock_2,404.96
31,commodity_0,461.40
31,commodity_1,445.68
31,commodity_2,479.01
31,future_0,443.32
31,future_1,449.68
31,future_2,446.14
31,bond_0,492.82
31,bond_1,419.10
31,bond_2,428.10
32,stock_0,451.34
32,stock_1,471.15
32,stock_2,490.87
32,commodity_0,405.64
32,commodity_1,495.31
32,commodity_2,469.19
32,future_0,454.02
32,future_1,441.08
32,future_2,479.12
32,bond_0,474.23
32,bond_1,477.84
32,bond_2,411.57
33,stock_0,408.82
33,stock_1,400.56
33,stock_2,452.91
33,commodity_0,477.09
33,commodity_1,422.74
33,commodity_2,492.05
33,future_0,422.41
33,future_1,440.19
33,future_2,402.76
33,bond_0,411.55
33,bond_1,426.17
33,bond_2,455.85
34,stock_0,421.74
34,stock_1,415.50
34,stock_2,494.64
34,commodity_0,422.91
34,commodity_1,427.09
34,commodity_2,410.73
34,future_0,443.53
34,future_1,419.69
34,future_2,400.53
34,bond_0,450.78
34,bond_1,473.17
34,bond_2,483.46
35,stock_0,434.99
35,stock_1,409.89
35,stock_2,480.44
35,commodity_0,475.62
35,commodity_1,417.29
35,commodity_2,409.46
35,future_0,404.38
35,future_1,425.94
35,future_2,477.48
35,bond_0,449.58
35,bond_1,414.33
35,bond_2,482.71
36,stock_0,426.49
36,stock_1,410.87
36,stock_2,422.44
36,commodity_0,427.13
36,commodity_1,481.55
36,commodity_2,406.38
36,future_0,461.35
36,future_1,417.25
36,future_2,406.39
36,bond_0,432.67
36,bond_1,467.08
36,bond_2,402.12
37,stock_0,482.32
37,stock_1,457.17
37,stock_2,418.10
37,commodity_0,432.07
37,commodity_1,419.79
37,commodity_2,434.30
37,future_0,478.69
37,future_1,409.25
37,future_2,406.39
37,bond_0,418.51
37,bond_1,436.40
37,bond_2,412.24
38,stock_0,431.95
38,stock_1,466.40
38,stock_2,462.56
38,commodity_0,437.27
38,commodity_1,418.41
38,commodity_2,488.35
38,future_0,408.57
38,future_1,455.97
38,future_2,487.29
38,bond_0,497.53
38,bond_1,452.46
