<TABLE>,tradable
asset-name,asset-class
STRING,STRING
stock_0,stock
stock_1,stock
stock_2,stock
commodity_0,commodity
commodity_1,commodity
commodity_2,commodity
future_0,future
future_1,future
future_2,future
bond_0,bond
bond_1,bond
bond_2,bond
<TABLE>,price-over-time
day,asset-name,price
INT,STRING,FLOAT
0,stock_0,448.12
0,stock_1,411.48
0,stock_2,474.00
0,commodity_0,422.95
0,commodity_1,406.05
0,commodity_2,491.88
0,future_0,492.10
0,future_1,425.14
0,future_2,413.90
0,bond_0,438.44
0,bond_1,449.65
0,bond_2,432.20
1,stock_0,454.64
1,stock_1,464.15
1,stock_2,461.94
1,commodity_0,436.77
1,commodity_1,409.50
1,commodity_2,496.14
1,future_0,499.06
1,future_1,474.71
1,future_2,431.27
1,bond_0,474.04
1,bond_1,472.58
1,bond_2,461.10
2,stock_0,464.60
2,stock_1,402.49
2,stock_2,422.31
2,commodity_0,440.39
2,commodity_1,476.87
2,commodity_2,437.09
2,future_0,401.82
2,future_1,493.77
2,future_2,470.99
2,bond_0,410.96
2,bond_1,443.30
2,bond_2,456.69
3,stock_0,419.59
3,stock_1,436.30
3,stock_2,412.07
3,commodity_0,467.68
3,commodity_1,485.11
3,commodity_2,451.61
3,future_0,463.98
3,future_1,482.49
3,future_2,422.93
3,bond_0,486.65
3,bond_1,453.82
3,bond_2,428.98
4,stock_0,481.48
4,stock_1,446.30
4,stock_2,423.49
4,commodity_0,495.61
4,commodity_1,464.96
4,commodity_2,476.80
4,future_0,417.88
4,future_1,411.39
4,future_2,417.36
4,bond_0,425.38
4,bond_1,430.83
4,bond_2,480.00
5,stock_0,480.15
5,stock_1,474.79
5,stock_2,443.82
5,commodity_0,422.44
5,commodity_1,466.02
5,commodity_2,424.05
5,future_0,429.49
5,future_1,481.29
5,future_2,455.77
5,bond_0,473.25
5,bond_1,438.77
5,bond_2,426.67
6,stock_0,453.91
6,stock_1,489.21
6,stock_2,479.37
6,commodity_0,437.88
6,commodity_1,441.15
6,commodity_2,458.68
6,future_0,452.26
6,future_1,404.40
6,future_2,449.12
6,bond_0,483.15
6,bond_1,448.87
6,bond_2,478.83
7,stock_0,471.83
7,stock_1,427.32
7,stock_2,418.58
7,commodity_0,450.37
7,commodity_1,497.26
7,commodity_2,442.71
7,future_0,448.48
7,future_1,425.44
7,future_2,438.49
7,bond_0,471.24
7,bond_1,448.57
7,bond_2,475.20
8,stock_0,405.57
8,stock_1,460.29
8,stock_2,404.09
8,commodity_0,486.43
8,commodity_1,439.71
8,commodity_2,461.76
8,future_0,469.43
8,future_1,472.33
8,future_2,452.54
8,bond_0,408.54
8,bond_1,468.95
8,bond_2,443.27
9,stock_0,471.61
9,stock_1,477.07
9,stock_2,407.40
9,commodity_0,458.18
9,commodity_1,467.31
9,commodity_2,455.96
9,future_0,422.76
9,future_1,421.18
9,future_2,422.92
9,bond_0,483.99
9,bond_1,454.66
9,bond_2,453.44
10,stock_0,491.13
10,stock_1,465.49
10,stock_2,458.66
10,commodity_0,471.30
10,commodity_1,470.09
10,commodity_2,499.12
10,future_0,499.90
10,future_1,472.33
10,future_2,493.35
10,bond_0,497.76
10,bond_1,438.72
10,bond_2,415.32
11,stock_0,439.83
11,stock_1,492.90
11,stock_2,407.30
11,commodity_0,423.29
11,commodity_1,451.02
11,commodity_2,474.23
11,future_0,469.42
11,future_1,437.21
11,future_2,453.78
11,bond_0,452.12
11,bond_1,430.88
11,bond_2,423.21
12,stock_0,409.85
12,stock_1,444.33
12,stock_2,496.54
12,commodity_0,431.57
12,commodity_1,448.95
12,commodity_2,494.76
12,future_0,446.94
12,future_1,430.86
12,future_2,429.60
12,bond_0,403.17
12,bond_1,494.10
12,bond_2,483.68
13,stock_0,435.77
13,stock_1,439.42
13,stock_2,439.21
13,commodity_0,450.45
13,commodity_1,435.83
13,commodity_2,425.08
13,future_0,423.37
13,future_1,406.32
13,future_2,448.27
13,bond_0,421.93
13,bond_1,479.55
13,bond_2,409.03
14,stock_0,496.69
14,stock_1,423.78
14,stock_2,418.51
14,commodity_0,439.51
14,commodity_1,431.56
14,commodity_2,406.35
14,future_0,498.08
14,future_1,437.26
14,future_2,402.70
14,bond_0,450.63
14,bond_1,472.70
14,bond_2,400.80
15,stock_0,464.22
15,stock_1,482.08
15,stock_2,422.72
15,commodity_0,453.50
15,commodity_1,412.34
15,commodity_2,459.99
15,future_0,496.01
15,future_1,465.44
15,future_2,438.04
15,bond_0,474.51
15,bond_1,413.47
15,bond_2,421.17
16,stock_0,476.11
16,stock_1,449.69
16,stock_2,489.84
16,commodity_0,461.41
16,commodity_1,426.85
16,commodity_2,417.02
16,future_0,448.96
16,future_1,408.27
16,future_2,486.83
16,bond_0,419.08
16,bond_1,493.67
16,bond_2,434.66
17,stock_0,447.79
17,stock_1,425.58
17,stock_2,408.72
17,commodity_0,409.60
17,commodity_1,492.70
17,commodity_2,488.77
17,future_0,455.02
17,future_1,443.54
17,future_2,458.28
17,bond_0,471.87
17,bond_1,467.65
17,bond_2,460.10
18,stock_0,400.74
18,stock_1,494.78
18,stock_2,436.68
18,commodity_0,487.23
18,commodity_1,404.12
18,commodity_2,451.75
18,future_0,404.40
18,future_1,481.17
18,future_2,424.08
18,bond_0,484.52
18,bond_1,485.24
18,bond_2,456.03
19,stock_0,494.82
19,stock_1,464.17
19,stock_2,466.12
19,commodity_0,418.76
19,commodity_1,410.73
19,commodity_2,487.07
19,future_0,462.98
19,future_1,434.15
19,future_2,465.24
19,bond_0,459.25
19,bond_1,471.10
19,bond_2,418.17
20,stock_0,499.73
20,stock_1,442.78
20,stock_2,408.80
20,commodity_0,450.33
20,commodity_1,490.07
20,commodity_2,480.13
20,future_0,454.06
20,future_1,496.66
20,future_2,495.61
20,bond_0,481.25
20,bond_1,430.43
20,bond_2,445.52
21,stock_0,436.10
21,stock_1,492.90
21,stock_2,464.01
21,commodity_0,410.77
21,commodity_1,446.13
21,commodity_2,490.58
21,future_0,464.14
21,future_1,479.15
21,future_2,467.56
21,bond_0,414.65
21,bond_1,437.78
21,bond_2,473.58
22,stock_0,434.46
22,stock_1,435.18
22,stock_2,454.63
22,commodity_0,478.36
22,commodity_1,432.11
22,commodity_2,480.98
22,future_0,410.27
22,future_1,406.53
22,future_2,459.12
22,bond_0,457.59
22,bond_1,443.65
22,bond_2,418.60
23,stock_0,436.59
23,stock_1,498.71
23,stock_2,413.30
23,commodity_0,483.65
23,commodity_1,458.36
23,commodity_2,482.71
23,future_0,438.08
23,future_1,479.08
23,future_2,478.01
23,bond_0,491.43
23,bond_1,414.64
23,bond_2,483.06
24,stock_0,419.88
24,stock_1,477.44
24,stock_2,431.87
24,commodity_0,442.24
24,commodity_1,449.83
24,commodity_2,415.59
24,future_0,487.43
24,future_1,474.42
24,future_2,469.38
24,bond_0,484.81
24,bond_1,460.97
24,bond_2,477.94
25,stock_0,423.68
25,stock_1,444.48
25,stock_2,446.43
25,commodity_0,432.81
25,commodity_1,477.44
25,commodity_2,478.62
25,future_0,402.16
25,future_1,489.95
25,future_2,495.54
25,bond_0,434.67
25,bond_1,428.49
25,bond_2,494.95
26,stock_0,484.07
26,stock_1,430.08
26,stock_2,490.87
26,commodity_0,400.19
26,commodity_1,499.51
26,commodity_2,402.89
26,future_0,443.30
26,future_1,416.59
26,future_2,472.89
26,bond_0,499.39
26,bond_1,483.98
26,bond_2,402.39
27,stock_0,486.71
27,stock_1,432.82
27,stock_2,493.02
27,commodity_0,490.10
27,commodity_1,411.83
27,commodity_2,483.22
27,future_0,487.38
27,future_1,456.78
27,future_2,489.24
27,bond_0,426.85
27,bond_1,414.66
27,bond_2,494.46
28,stock_0,454.43
28,stock_1,439.80
28,stock_2,448.76
28,commodity_0,453.40
28,commodity_1,457.71
28,commodity_2,428.48
28,future_0,474.04
28,future_1,486.99
28,future_2,423.32
28,bond_0,457.61
28,bond_1,435.03
28,bond_2,488.20
29,stock_0,414.96
29,stock_1,438.50
29,stock_2,458.48
29,commodity_0,401.44
29,commodity_1,447.58
29,commodity_2,409.58
29,future_0,465.16
29,future_1,463.91
29,future_2,403.62
29,bond_0,443.32
29,bond_1,424.67
29,bond_2,409.82
30,stock_0,487.99
30,stock_1,475.48
30,stock_2,431.13
30,commodity_0,447.78
30,commodity_1,450.95
30,commodity_2,421.00
30,future_0,404.75
30,future_1,440.36
30,future_2,414.29
30,bond_0,460.98
30,bond_1,499.19
30,bond_2,490.67
31,stock_0,429.89
31,stock_1,482.18
31,stock_2,482.48
31,commodity_0,442.51
31,commodity_1,466.86
31,commodity_2,417.91
31,future_0,484.66
31,future_1,424.32
31,future_2,486.70
31,bond_0,472.51
31,bond_1,448.68
31,bond_2,408.50
32,stock_0,471.34
32,stock_1,471.77
32,stock_2,409.68
32,commodity_0,407.65
32,commodity_1,422.19
32,commodity_2,414.58
32,future_0,459.87
32,future_1,457.82
32,future_2,471.26
32,bond_0,492.06
32,bond_1,446.56
32,bond_2,408.80
33,stock_0,417.53
33,stock_1,415.05
33,stock_2,455.47
33,commodity_0,420.62
33,commodity_1,467.92
33,commodity_2,411.12
33,future_0,483.28
33,future_1,459.27
33,future_2,462.61
33,bond_0,444.40
33,bond_1,432.22
33,bond_2,412.78
34,stock_0,478.12
34,stock_1,489.56
34,stock_2,417.08
34,commodity_0,473.45
34,commodity_1,438.49
34,commodity_2,446.18
34,future_0,404.60
34,future_1,490.16
34,future_2,464.64
34,bond_0,493.07
34,bond_1,485.14
34,bond_2,469.80
35,stock_0,420.11
35,stock_1,477.86
35,stock_2,496.56
35,commodity_0,435.25
35,commodity_1,429.22
35,commodity_2,490.19
35,future_0,416.72
35,future_1,485.51
35,future_2,434.81
35,bond_0,460.82
35,bond_1,455.41
35,bond_2,410.80
36,stock_0,458.15
36,stock_1,489.52
36,stock_2,444.02
36,commodity_0,472.38
36,commodity_1,436.94
36,commodity_2,435.76
36,future_0,456.66
36,future_1,423.22
36,future_2,425.97
36,bond_0,472.37
36,bond_1,457.41
36,bond_2,413.81
37,stock_0,438.52
37,stock_1,461.61
37,stock_2,406.57
37,commodity_0,478.99
37,commodity_1,409.56
37,commodity_2,460.51
37,future_0,435.91
37,future_1,403.02
37,future_2,472.02
37,bond_0,414.91
37,bond_1,435.63
37,bond_2,482.83
38,stock_0,433.04
38,stock_1,441.97
38,stock_2,474.18
38,commodity_0,402.82
38,commodity_1,499.81
38,commodity_2,493.65
38,future_0,487.43
38,future_1,423.40
38,future_2,436.93
38,bond_0,430.48
38,bond_1,406.52
